,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN1823_c0_g1_i12,Pol,Fer,8.504602667,1.14E-05,0.000732592,DNLI4_ORYSJ,up
TRINITY_DN980_c0_g1_i5,Pol,Fer,8.50164281,1.34E-05,0.000806318,SR34_ARATH,up
TRINITY_DN3069_c0_g1_i5,Pol,Fer,8.496911925,1.88E-05,0.00102061,C3H24_ORYSJ,up
TRINITY_DN4288_c0_g1_i3,Pol,Fer,8.487113196,1.31E-05,0.000796389,SAB_ARATH,up
TRINITY_DN6236_c0_g1_i6,Pol,Fer,8.482121439,1.47E-05,0.000849855,AMSH1_ARATH,up
TRINITY_DN1114_c0_g1_i7,Pol,Fer,8.476070576,2.16E-05,0.001133144,BCAT5_ARATH,up
TRINITY_DN9425_c0_g1_i32,Pol,Fer,8.471946615,2.38E-05,0.001224707,ROC8_ORYSJ,up
TRINITY_DN522_c0_g1_i4,Pol,Fer,8.468564853,1.32E-05,0.000799896,GOGC4_ARATH,up
TRINITY_DN3555_c0_g1_i17,Pol,Fer,8.467754392,6.53E-05,0.002619516,PBL27_ARATH,up
TRINITY_DN14034_c0_g1_i20,Pol,Fer,8.446882331,1.48E-05,0.000851524,DUR3_ARATH,up
TRINITY_DN8123_c0_g1_i1,Pol,Fer,8.444589306,2.83E-05,0.001378161,MURG_FLAPJ,up
TRINITY_DN4662_c0_g1_i1,Pol,Fer,8.441536609,5.34E-05,0.002263454,GSTFD_ARATH,up
TRINITY_DN481_c0_g1_i1,Pol,Fer,8.437373311,1.51E-05,0.000866488,ALB4_ARATH,up
TRINITY_DN3255_c0_g1_i8,Pol,Fer,8.43306372,1.65E-05,0.000923336,MDM38_YEAST,up
TRINITY_DN972_c1_g1_i4,Pol,Fer,8.428327941,1.60E-05,0.00089973,FBL17_ARATH,up
TRINITY_DN18475_c0_g1_i1,Pol,Fer,8.42021812,2.76E-05,0.001355715,FAB1D_ARATH,up
TRINITY_DN2012_c0_g1_i2,Pol,Fer,8.416335388,1.73E-05,0.000960036,Y2982_ORYSJ,up
TRINITY_DN1272_c0_g1_i4,Pol,Fer,8.410308492,1.97E-05,0.001052162,CSU1_ARATH,up
TRINITY_DN4043_c0_g1_i2,Pol,Fer,8.409183679,3.57E-05,0.001668105,RBR_COCNU,up
TRINITY_DN5377_c0_g1_i2,Pol,Fer,8.4090321,3.17E-05,0.001509738,ADIP_HUMAN,up
TRINITY_DN9675_c0_g1_i3,Pol,Fer,8.405180514,3.07E-05,0.001475956,XB3_ORYSJ,up
TRINITY_DN11694_c0_g1_i2,Pol,Fer,8.386237164,3.74E-05,0.001719724,PUB7_ARATH,up
TRINITY_DN5839_c0_g1_i5,Pol,Fer,8.384887509,1.96E-05,0.00105107,LIN2_LOTJA,up
TRINITY_DN4545_c0_g1_i6,Pol,Fer,8.370272082,2.20E-05,0.00114677,Y2349_ARATH,up
TRINITY_DN305_c0_g1_i4,Pol,Fer,8.36862467,3.46E-05,0.001628541,NPR2_ORYSJ,up
TRINITY_DN2896_c0_g1_i6,Pol,Fer,8.364591209,2.17E-05,0.001133611,AGO4B_ORYSJ,up
TRINITY_DN7358_c0_g1_i3,Pol,Fer,8.364591209,2.17E-05,0.001133611,BASS5_ORYSJ,up
TRINITY_DN3982_c0_g1_i4,Pol,Fer,8.351813019,2.26E-05,0.001170663,BAHL1_ORYSJ,up
TRINITY_DN3402_c0_g1_i2,Pol,Fer,8.347722839,6.62E-05,0.002637306,SERK4_ORYSJ,up
TRINITY_DN748_c0_g1_i13,Pol,Fer,8.347575449,5.73E-05,0.002374296,BIOF_ARATH,up
TRINITY_DN13968_c0_g1_i21,Pol,Fer,8.338351054,2.63E-05,0.001313041,NFD4_ARATH,up
TRINITY_DN6993_c0_g1_i6,Pol,Fer,8.33667026,2.70E-05,0.001337091,TAF2_ARATH,up
TRINITY_DN3671_c0_g1_i4,Pol,Fer,8.329484447,5.90E-05,0.002425622,PTST_ARATH,up
TRINITY_DN9358_c0_g1_i17,Pol,Fer,8.322251654,2.71E-05,0.001340497,VAC14_ARATH,up
TRINITY_DN6646_c0_g1_i4,Pol,Fer,8.321110434,2.57E-05,0.001290998,SRF7_ARATH,up
TRINITY_DN10969_c0_g1_i1,Pol,Fer,8.318877758,3.62E-05,0.001683112,ISE2_ARATH,up
TRINITY_DN1297_c0_g1_i7,Pol,Fer,8.318701536,3.30E-05,0.001563067,TTHL_ARATH,up
TRINITY_DN4895_c0_g1_i21,Pol,Fer,8.318592355,3.00E-05,0.001445505,MSRA_SOLLC,up
TRINITY_DN6835_c0_g1_i1,Pol,Fer,8.313776192,7.77E-05,0.002946282,PGR_ARATH,up
TRINITY_DN12130_c0_g1_i4,Pol,Fer,8.313464082,2.55E-05,0.00128938,PIGT_MOUSE,up
TRINITY_DN2092_c0_g1_i12,Pol,Fer,8.310183201,3.62E-05,0.001683112,FRS6_ARATH,up
TRINITY_DN5270_c0_g1_i1,Pol,Fer,8.309667914,7.45E-05,0.002875684,BGH3B_BACO1,up
TRINITY_DN205_c1_g1_i8,Pol,Fer,8.30519708,2.66E-05,0.001321736,AVT1A_ARATH,up
TRINITY_DN891_c0_g1_i15,Pol,Fer,8.300580322,3.79E-05,0.001735845,SECA_SPIOL,up
TRINITY_DN8974_c0_g1_i14,Pol,Fer,8.299251494,6.48E-05,0.002604624,TOP1_RICBR,up
TRINITY_DN5955_c1_g1_i17,Pol,Fer,8.295422473,8.04E-05,0.003019596,PGR_ARATH,up
TRINITY_DN17874_c0_g2_i12,Pol,Fer,8.294606274,4.24E-05,0.001896702,PTA10_ARATH,up
TRINITY_DN6487_c1_g1_i2,Pol,Fer,8.29457383,9.85E-06,0.000649068,SWT15_ORYSI,up
TRINITY_DN11142_c0_g2_i8,Pol,Fer,8.293874168,3.08E-05,0.001475956,YSL5_ARATH,up
TRINITY_DN1135_c0_g1_i2,Pol,Fer,8.292432488,3.99E-05,0.00180749,CPL1_ARATH,up
TRINITY_DN4964_c0_g1_i6,Pol,Fer,8.292323665,3.18E-05,0.00151528,NOC2L_ORYSJ,up
TRINITY_DN4275_c0_g1_i1,Pol,Fer,8.291951442,3.70E-05,0.001709309,EI2BE_RAT,up
TRINITY_DN6514_c0_g1_i3,Pol,Fer,8.290518949,3.00E-05,0.001445505,GFT1_ARATH,up
TRINITY_DN6034_c0_g1_i27,Pol,Fer,8.288251398,3.91E-05,0.001779073,DLD_ARATH,up
TRINITY_DN820_c0_g1_i5,Pol,Fer,8.282315274,3.08E-05,0.001475956,SBT3_LOTJA,up
TRINITY_DN5665_c0_g1_i7,Pol,Fer,8.281743552,3.73E-05,0.001716955,SPS1_ORYSJ,up
TRINITY_DN1403_c0_g1_i5,Pol,Fer,8.272455943,6.94E-05,0.002734959,BAT1_ARATH,up
TRINITY_DN6970_c0_g1_i5,Pol,Fer,8.268386358,7.67E-05,0.002918633,HVT1_ARATH,up
TRINITY_DN8339_c0_g1_i29,Pol,Fer,8.266365429,3.11E-05,0.001489174,MAF1_BOVIN,up
TRINITY_DN11546_c0_g1_i10,Pol,Fer,8.264534056,3.22E-05,0.001525595,PDPK1_ARATH,up
TRINITY_DN669_c0_g1_i1,Pol,Fer,8.259371888,4.94E-05,0.002145227,EIL1B_ORYSJ,up
TRINITY_DN5983_c0_g1_i3,Pol,Fer,8.247781046,3.49E-05,0.001639991,VAD1_ARATH,up
TRINITY_DN5792_c0_g1_i33,Pol,Fer,8.239923533,4.32E-05,0.001925487,UVH3_ARATH,up
TRINITY_DN5064_c0_g1_i5,Pol,Fer,8.229716421,5.69E-05,0.002365762,OSA15_ORYSJ,up
TRINITY_DN1601_c0_g1_i2,Pol,Fer,8.2269289,4.91E-05,0.002138136,KINGL_ARATH,up
TRINITY_DN1913_c0_g1_i4,Pol,Fer,8.226739443,5.40E-05,0.002278279,ICR4_ARATH,up
TRINITY_DN918_c0_g1_i12,Pol,Fer,8.223949799,9.64E-05,0.003481834,LHT1_ARATH,up
TRINITY_DN7213_c0_g1_i2,Pol,Fer,8.217616759,7.88E-05,0.002979598,ZHD6_ORYSI,up
TRINITY_DN8418_c0_g1_i1,Pol,Fer,8.214953902,3.92E-05,0.001779416,RSLE2_ORYSJ,up
TRINITY_DN1972_c0_g1_i12,Pol,Fer,8.214278622,5.02E-05,0.002165131,KEG_ARATH,up
TRINITY_DN1554_c0_g1_i2,Pol,Fer,8.209862179,4.94E-05,0.002145227,SFH12_ARATH,up
TRINITY_DN11763_c0_g1_i6,Pol,Fer,8.208127903,6.21E-05,0.002517702,PHT1_ORYSJ,up
TRINITY_DN40_c0_g1_i55,Pol,Fer,8.205819711,5.82E-05,0.002399691,BLH10_ARATH,up
TRINITY_DN2109_c0_g1_i7,Pol,Fer,8.204062434,7.63E-05,0.002911865,MAP1B_ARATH,up
TRINITY_DN1171_c0_g1_i9,Pol,Fer,8.196587618,5.55E-05,0.002325269,BGA15_ORYSJ,up
TRINITY_DN2360_c1_g1_i2,Pol,Fer,8.190507506,6.25E-05,0.002529827,TBL34_ARATH,up
TRINITY_DN7455_c0_g1_i1,Pol,Fer,8.188548661,7.27E-05,0.002826918,HTSF1_MOUSE,up
TRINITY_DN8073_c0_g1_i3,Pol,Fer,8.187769463,5.01E-05,0.002161125,SCRL2_ORYSJ,up
TRINITY_DN2156_c0_g1_i27,Pol,Fer,8.187632646,6.26E-05,0.002530878,GPI1_SCHPO,up
TRINITY_DN5577_c0_g1_i16,Pol,Fer,8.187144068,4.38E-05,0.001953975,AMPD_ARATH,up
TRINITY_DN8547_c0_g1_i1,Pol,Fer,8.178330503,4.57E-05,0.002019109,CDC22_ARATH,up
TRINITY_DN11094_c0_g2_i1,Pol,Fer,8.175031148,6.71E-05,0.002662402,AB21B_ARATH,up
TRINITY_DN10728_c0_g1_i9,Pol,Fer,8.172939522,4.91E-05,0.002138136,FPA_ARATH,up
TRINITY_DN1771_c0_g1_i2,Pol,Fer,8.172263761,5.36E-05,0.002266894,AUR1_ARATH,up
TRINITY_DN8374_c0_g1_i3,Pol,Fer,8.172263761,5.36E-05,0.002266894,Y1457_ARATH,up
TRINITY_DN2523_c0_g1_i33,Pol,Fer,8.167974673,5.86E-05,0.002414606,F10C1_HUMAN,up
TRINITY_DN5286_c0_g1_i10,Pol,Fer,8.165328146,5.16E-05,0.002211055,PPA17_ARATH,up
TRINITY_DN5792_c0_g1_i3,Pol,Fer,8.162936835,5.04E-05,0.002165131,UVH3_ARATH,up
TRINITY_DN5953_c0_g1_i3,Pol,Fer,8.160540209,4.96E-05,0.0021474,LPAI_ARATH,up
TRINITY_DN1096_c0_g1_i4,Pol,Fer,8.15699713,6.79E-05,0.002689636,ZW10_ARATH,up
TRINITY_DN11386_c0_g1_i30,Pol,Fer,8.156248864,7.94E-05,0.002995624,CUL4_ARATH,up
TRINITY_DN4362_c0_g1_i3,Pol,Fer,8.150200384,6.91E-05,0.002730096,KIP1L_ARATH,up
TRINITY_DN28343_c0_g1_i1,Pol,Fer,8.148271489,5.39E-05,0.002273694,FUCO1_ARATH,up
TRINITY_DN14456_c0_g1_i6,Pol,Fer,8.144737233,5.30E-05,0.002249274,KN12F_ORYSJ,up
TRINITY_DN2064_c0_g1_i36,Pol,Fer,8.143642473,5.60E-05,0.002341907,VPS3_ARATH,up
TRINITY_DN7536_c0_g1_i15,Pol,Fer,8.139215544,5.55E-05,0.002325269,FGT1_ARATH,up
TRINITY_DN4729_c0_g1_i5,Pol,Fer,8.138934931,7.59E-05,0.002908942,CB60A_ARATH,up
TRINITY_DN6218_c0_g1_i16,Pol,Fer,8.127775514,9.39E-05,0.003410706,IMB1_ARATH,up
TRINITY_DN8253_c0_g1_i4,Pol,Fer,8.126744284,6.04E-05,0.002472951,SBT4_LOTJA,up
TRINITY_DN2497_c0_g1_i12,Pol,Fer,8.126744284,6.04E-05,0.002472951,SCC3_ARATH,up
TRINITY_DN4322_c0_g1_i8,Pol,Fer,8.118586159,9.98E-05,0.003566569,XB33_ARATH,up
TRINITY_DN5967_c0_g1_i6,Pol,Fer,8.10899732,6.70E-05,0.002662402,DEN5B_DANRE,up
TRINITY_DN751_c0_g1_i12,Pol,Fer,8.103094423,6.17E-05,0.002507708,FAO1_LOTJA,up
TRINITY_DN5819_c0_g1_i5,Pol,Fer,8.094201956,6.94E-05,0.002734959,LYK5_ARATH,up
TRINITY_DN6857_c0_g1_i8,Pol,Fer,8.087322387,7.55E-05,0.002897519,RAC2_ORYSJ,up
TRINITY_DN4650_c0_g2_i1,Pol,Fer,8.086645719,6.60E-05,0.002635001,PMTI_ARATH,up
TRINITY_DN3815_c0_g1_i2,Pol,Fer,8.086185481,6.57E-05,0.002627106,SMC5_ARATH,up
TRINITY_DN5857_c0_g1_i27,Pol,Fer,8.082715944,8.03E-05,0.003019596,UBP15_ARATH,up
TRINITY_DN7894_c0_g1_i2,Pol,Fer,8.082495349,7.49E-05,0.002881502,AB39G_ARATH,up
TRINITY_DN372_c0_g1_i4,Pol,Fer,8.082270633,7.09E-05,0.00277723,CSK2E_ARATH,up
TRINITY_DN9248_c0_g1_i52,Pol,Fer,8.077921017,9.10E-05,0.003337427,HERK_ARATH,up
TRINITY_DN9451_c0_g1_i6,Pol,Fer,8.076043438,7.64E-05,0.002912454,PPME1_BOVIN,up
TRINITY_DN4864_c0_g1_i5,Pol,Fer,8.065351,7.32E-05,0.002837045,PPA18_ARATH,up
TRINITY_DN6614_c0_g1_i1,Pol,Fer,8.055524381,7.46E-05,0.002877249,RBL12_ARATH,up
TRINITY_DN3204_c1_g1_i5,Pol,Fer,8.054090997,9.44E-05,0.003422947,COL5_ARATH,up
TRINITY_DN9720_c0_g1_i9,Pol,Fer,8.049153406,9.30E-05,0.003394151,Y1133_ARATH,up
TRINITY_DN1091_c0_g1_i4,Pol,Fer,8.044421467,9.98E-05,0.003566569,CHRC1_ONCHC,up
TRINITY_DN4198_c0_g1_i5,Pol,Fer,8.042090452,9.38E-05,0.003410706,ARP2_ARATH,up
TRINITY_DN5699_c0_g1_i6,Pol,Fer,8.040894332,7.89E-05,0.002979598,NADAP_HUMAN,up
TRINITY_DN7254_c1_g2_i4,Pol,Fer,8.035508255,1.49E-06,0.000155738,CCA31_ARATH,up
TRINITY_DN9227_c0_g1_i3,Pol,Fer,8.032570515,9.00E-05,0.003308343,MPRO1_ARATH,up
TRINITY_DN6505_c0_g1_i14,Pol,Fer,8.028748364,8.35E-05,0.003106352,SYLM_ARATH,up
TRINITY_DN3155_c0_g1_i2,Pol,Fer,8.027554617,9.43E-05,0.003422947,ZSWM7_DANRE,up
TRINITY_DN2455_c0_g1_i1,Pol,Fer,8.021793251,9.21E-05,0.003372222,HPT1_ORYSJ,up
TRINITY_DN805_c0_g1_i28,Pol,Fer,8.021555432,8.81E-05,0.003248712,GGAP1_ARATH,up
TRINITY_DN11184_c0_g1_i3,Pol,Fer,8.013599266,8.76E-05,0.003233349,PRAF1_ARATH,up
TRINITY_DN10208_c0_g1_i2,Pol,Fer,8.011666662,9.23E-05,0.003374815,ORC1_ORYSJ,up
TRINITY_DN2484_c0_g1_i19,Pol,Fer,8.009482411,9.95E-05,0.003563532,C3H18_ORYSJ,up
TRINITY_DN5622_c0_g1_i1,Pol,Fer,7.998044041,9.80E-05,0.003523846,AL221_ARATH,up
TRINITY_DN2957_c0_g1_i4,Pol,Fer,7.99094325,9.61E-05,0.003474007,CA1P_WHEAT,up
TRINITY_DN10161_c0_g1_i5,Pol,Fer,7.990695688,9.79E-05,0.003523846,BUBR1_ARATH,up
TRINITY_DN3595_c0_g2_i1,Pol,Fer,7.664373541,1.86E-06,0.000182071,ARFK_ORYSJ,up
TRINITY_DN820_c0_g1_i2,Pol,Fer,7.591661754,4.61E-07,6.07E-05,SBT3_LOTJA,up
TRINITY_DN4293_c0_g1_i2,Pol,Fer,7.453642474,1.29E-05,0.000791473,STAD_RICCO,up
TRINITY_DN10900_c0_g1_i1,Pol,Fer,7.418845744,1.45E-05,0.000842791,SBT_MEDTR,up
TRINITY_DN10370_c0_g1_i1,Pol,Fer,7.37481297,1.87E-05,0.001018351,GDL57_ARATH,up
TRINITY_DN320_c1_g1_i2,Pol,Fer,7.327282249,8.65E-07,0.000103983,MYB05_ANTMA,up
TRINITY_DN19068_c0_g1_i1,Pol,Fer,7.325375786,2.63E-05,0.001313041,CNGC4_ARATH,up
TRINITY_DN3250_c0_g1_i2,Pol,Fer,7.295555143,4.99E-26,5.86E-22,SBT4_LOTJA,up
TRINITY_DN4591_c0_g1_i2,Pol,Fer,7.284470469,1.04E-12,9.15E-10,PNAA_PRUDU,up
TRINITY_DN122_c0_g1_i4,Pol,Fer,7.251626484,5.87E-05,0.00241578,NET4A_ARATH,up
TRINITY_DN820_c0_g2_i1,Pol,Fer,7.134380626,7.13E-28,1.26E-23,SBT4_LOTJA,up
TRINITY_DN918_c0_g1_i11,Pol,Fer,7.094130618,4.30E-05,0.001923065,LHT1_ARATH,up
TRINITY_DN2577_c0_g1_i1,Pol,Fer,7.026512595,5.29E-06,0.000403478,HSP7S_PEA,up
TRINITY_DN3602_c0_g1_i12,Pol,Fer,7.020670635,1.41E-06,0.000148038,MCM6_ORYSJ,up
TRINITY_DN4562_c0_g1_i1,Pol,Fer,7.000929041,3.87E-06,0.000321765,LTG14_ARATH,up
TRINITY_DN16843_c1_g1_i1,Pol,Fer,6.953763086,8.40E-09,2.28E-06,XPT_ARATH,up
TRINITY_DN424_c0_g1_i14,Pol,Fer,6.905748006,1.06E-07,1.87E-05,LEU1B_SOLPN,up
TRINITY_DN694_c0_g1_i7,Pol,Fer,6.875912672,3.81E-06,0.00031975,LEC2_COLES,up
TRINITY_DN2430_c0_g2_i3,Pol,Fer,6.8703902,9.00E-06,0.000606342,PNH1_ORYSJ,up
TRINITY_DN11132_c0_g1_i2,Pol,Fer,6.808851771,2.29E-05,0.001185897,SPL8_ARATH,up
TRINITY_DN16445_c0_g1_i6,Pol,Fer,6.79203667,4.90E-05,0.002138136,HS22M_SOYBN,up
TRINITY_DN7604_c0_g1_i3,Pol,Fer,6.725774734,1.50E-07,2.42E-05,ZDHC1_ARATH,up
TRINITY_DN1008_c0_g1_i2,Pol,Fer,6.71779663,2.77E-07,3.98E-05,TIC40_PEA,up
TRINITY_DN15629_c0_g1_i5,Pol,Fer,6.697651142,9.36E-12,6.14E-09,PDF1_ARATH,up
TRINITY_DN9001_c0_g1_i2,Pol,Fer,6.692390911,8.74E-05,0.003233349,PME28_ARATH,up
TRINITY_DN3228_c0_g1_i13,Pol,Fer,6.498399132,8.87E-05,0.003263142,P2C04_ORYSJ,up
TRINITY_DN1821_c0_g1_i1,Pol,Fer,6.342185079,2.48E-05,0.001258318,HS704_ARATH,up
TRINITY_DN5311_c0_g1_i5,Pol,Fer,6.301253898,4.54E-05,0.002008219,KN14C_ARATH,up
TRINITY_DN1636_c0_g1_i1,Pol,Fer,6.183566623,4.89E-06,0.00037694,H2B1_ARATH,up
TRINITY_DN1114_c0_g1_i5,Pol,Fer,6.171206411,1.34E-10,6.20E-08,BCAT5_ARATH,up
TRINITY_DN1239_c0_g1_i1,Pol,Fer,6.115985695,1.24E-05,0.000772916,SBT14_ARATH,up
TRINITY_DN4156_c0_g1_i14,Pol,Fer,6.076222109,1.28E-05,0.000785041,SMC4_ARATH,up
TRINITY_DN1935_c0_g1_i8,Pol,Fer,6.069090652,1.75E-05,0.000967964,TOP2_ARATH,up
TRINITY_DN21793_c0_g1_i9,Pol,Fer,6.005840045,3.20E-05,0.001521064,CHER1_ARATH,up
TRINITY_DN5345_c0_g1_i4,Pol,Fer,5.878031288,5.04E-05,0.002165131,HD16N_ORYSJ,up
TRINITY_DN7316_c0_g1_i1,Pol,Fer,5.847833183,5.04E-10,1.95E-07,SAMC1_ARATH,up
TRINITY_DN10293_c0_g1_i1,Pol,Fer,5.844783394,1.68E-05,0.000938146,BH061_ARATH,up
TRINITY_DN5025_c0_g1_i14,Pol,Fer,5.771659038,6.59E-10,2.44E-07,PLAT1_ARATH,up
TRINITY_DN7172_c0_g1_i25,Pol,Fer,5.730184306,5.38E-11,2.83E-08,FKB70_WHEAT,up
TRINITY_DN332_c0_g1_i1,Pol,Fer,5.656075103,6.23E-05,0.002524468,MCM2_ORYSI,up
TRINITY_DN13776_c0_g1_i2,Pol,Fer,5.61419945,1.62E-21,9.53E-18,CALR_PRUAR,up
TRINITY_DN4375_c0_g1_i4,Pol,Fer,5.606457492,3.89E-05,0.001775512,DNJH_CUCSA,up
TRINITY_DN8231_c0_g1_i1,Pol,Fer,5.601598584,1.35E-05,0.000808231,KN14J_ORYSJ,up
TRINITY_DN5576_c0_g1_i11,Pol,Fer,5.511986504,5.68E-05,0.002364542,GDL79_ARATH,up
TRINITY_DN3595_c0_g2_i2,Pol,Fer,5.431083408,2.06E-06,0.000196681,ARFE_ARATH,up
TRINITY_DN1700_c1_g1_i2,Pol,Fer,5.425948078,2.52E-12,2.02E-09,E133_ARATH,up
TRINITY_DN6573_c0_g2_i1,Pol,Fer,5.082506964,1.37E-05,0.000820135,SCL28_ARATH,up
TRINITY_DN2878_c0_g1_i2,Pol,Fer,5.056646798,5.43E-13,5.98E-10,4CLL6_ARATH,up
TRINITY_DN6331_c0_g1_i3,Pol,Fer,5.023499678,1.18E-05,0.000747356,RFA1B_ORYSJ,up
TRINITY_DN3025_c0_g1_i4,Pol,Fer,5.001380648,5.02E-07,6.53E-05,SRL2_ORYSJ,up
TRINITY_DN4150_c0_g1_i6,Pol,Fer,4.964108072,5.30E-05,0.002249274,ACT_GOSHI,up
TRINITY_DN330_c1_g1_i6,Pol,Fer,4.909026558,5.87E-12,4.22E-09,HIP37_ARATH,up
TRINITY_DN530_c0_g1_i2,Pol,Fer,4.781993941,8.19E-05,0.003066201,BAG5_ARATH,up
TRINITY_DN8498_c0_g1_i1,Pol,Fer,4.674156795,1.30E-05,0.000796074,CSLA9_ARATH,up
TRINITY_DN4822_c0_g1_i13,Pol,Fer,4.663251215,7.41E-05,0.002863314,CLCG_ARATH,up
TRINITY_DN8209_c0_g1_i10,Pol,Fer,4.634927319,8.52E-05,0.003164936,KN10C_ORYSJ,up
TRINITY_DN10087_c0_g1_i15,Pol,Fer,4.582372436,1.35E-06,0.000144645,RL5_CUCSA,up
TRINITY_DN7359_c0_g1_i1,Pol,Fer,4.522359709,1.06E-05,0.000686089,KN12C_ORYSJ,up
TRINITY_DN7058_c0_g1_i4,Pol,Fer,4.502625765,2.84E-10,1.22E-07,SCP3_ARATH,up
TRINITY_DN1886_c0_g1_i1,Pol,Fer,4.47720661,1.62E-06,0.000164123,DPOLA_ORYSJ,up
TRINITY_DN4039_c0_g1_i1,Pol,Fer,4.442338107,2.74E-06,0.000248593,H2B1_ARATH,up
TRINITY_DN11396_c0_g2_i2,Pol,Fer,4.437069251,1.94E-05,0.001046325,CCB11_ORYSJ,up
TRINITY_DN9572_c0_g1_i2,Pol,Fer,4.426974489,1.97E-05,0.001051157,ORC6_ORYSI,up
TRINITY_DN6519_c0_g2_i3,Pol,Fer,4.394965186,5.53E-05,0.002322176,AAP6_ARATH,up
TRINITY_DN3343_c0_g1_i2,Pol,Fer,4.393579921,3.90E-06,0.000322365,TPS1_ARATH,up
TRINITY_DN5020_c0_g1_i1,Pol,Fer,4.386582186,7.74E-05,0.0029437,XTHB_PHAAN,up
TRINITY_DN5243_c0_g1_i1,Pol,Fer,4.369106719,5.00E-05,0.00215824,MSH7_ARATH,up
TRINITY_DN2174_c0_g2_i1,Pol,Fer,4.334358112,2.59E-08,5.56E-06,SBT4_LOTJA,up
TRINITY_DN7163_c0_g1_i2,Pol,Fer,4.298856598,4.60E-07,6.07E-05,MCM4_ORYSJ,up
TRINITY_DN10379_c0_g3_i3,Pol,Fer,4.292429507,5.63E-05,0.002353328,BH096_ARATH,up
TRINITY_DN5494_c0_g1_i2,Pol,Fer,4.267528599,5.01E-09,1.45E-06,PEAM1_ARATH,up
TRINITY_DN6243_c0_g1_i1,Pol,Fer,4.181165659,3.64E-05,0.001689296,CMT1_MAIZE,up
TRINITY_DN8233_c0_g2_i1,Pol,Fer,4.166045517,1.22E-06,0.000132926,ZHD1_ORYSJ,up
TRINITY_DN10562_c0_g1_i3,Pol,Fer,4.156802868,7.89E-05,0.002979598,BARD1_ARATH,up
TRINITY_DN5606_c0_g1_i10,Pol,Fer,4.146499138,5.89E-07,7.42E-05,SBT4_LOTJA,up
TRINITY_DN2153_c0_g1_i2,Pol,Fer,4.125574016,7.61E-05,0.002910138,RIR1_ARATH,up
TRINITY_DN11529_c0_g1_i6,Pol,Fer,4.123114957,1.41E-07,2.34E-05,H2A_EUPES,up
TRINITY_DN2130_c0_g1_i6,Pol,Fer,4.044475681,3.84E-07,5.27E-05,HST_TOBAC,up
TRINITY_DN3502_c0_g1_i7,Pol,Fer,4.039441876,4.52E-05,0.002005579,GUN17_ARATH,up
TRINITY_DN339_c0_g2_i2,Pol,Fer,4.032755578,3.56E-05,0.00166479,MURE_ARATH,up
TRINITY_DN339_c0_g1_i1,Pol,Fer,4.021031717,2.97E-06,0.000264503,MURE_ARATH,up
TRINITY_DN5606_c0_g1_i1,Pol,Fer,3.926988588,6.16E-05,0.002507708,SBT3_LOTJA,up
TRINITY_DN12000_c0_g2_i1,Pol,Fer,3.913473708,8.05E-05,0.003021392,KN14I_ORYSJ,up
TRINITY_DN5872_c0_g1_i1,Pol,Fer,3.895121203,5.42E-06,0.000410179,PNAA_PRUDU,up
TRINITY_DN7058_c0_g1_i9,Pol,Fer,3.874886235,1.22E-05,0.000761245,SCP3_ARATH,up
TRINITY_DN1114_c0_g1_i9,Pol,Fer,3.783181553,2.94E-05,0.001424471,BCAT5_ARATH,up
TRINITY_DN5486_c0_g1_i15,Pol,Fer,3.759535554,2.50E-07,3.70E-05,AB31G_ORYSJ,up
TRINITY_DN9078_c0_g1_i11,Pol,Fer,3.750860506,2.39E-05,0.001226332,H32_WHEAT,up
TRINITY_DN1760_c0_g1_i3,Pol,Fer,3.628585119,5.72E-05,0.002371092,SCAM1_ORYSI,up
TRINITY_DN2130_c0_g1_i1,Pol,Fer,3.619839669,6.13E-08,1.16E-05,HST_TOBAC,up
TRINITY_DN6442_c0_g1_i4,Pol,Fer,3.562036253,3.51E-05,0.001647844,PBL7_ARATH,up
TRINITY_DN1727_c0_g1_i4,Pol,Fer,3.523771636,1.34E-05,0.000806318,H32_WHEAT,up
TRINITY_DN7289_c0_g1_i2,Pol,Fer,3.51525217,2.79E-06,0.000251438,MTDH_MESCR,up
TRINITY_DN1727_c0_g1_i1,Pol,Fer,3.51412674,4.45E-07,5.93E-05,IPYR1_ARATH,up
TRINITY_DN9839_c0_g1_i4,Pol,Fer,3.474490598,1.43E-05,0.000835198,HSP7H_ARATH,up
TRINITY_DN9922_c0_g1_i2,Pol,Fer,3.447729093,2.76E-05,0.001355715,ASOL_TOBAC,up
TRINITY_DN12487_c0_g1_i5,Pol,Fer,3.430973497,8.40E-06,0.00057436,MURA2_CARHZ,up
TRINITY_DN1727_c0_g1_i2,Pol,Fer,3.428754772,4.34E-06,0.000346229,IPYR1_ARATH,up
TRINITY_DN3875_c0_g1_i2,Pol,Fer,3.409089552,2.58E-07,3.81E-05,H32_TOBAC,up
TRINITY_DN11529_c0_g1_i3,Pol,Fer,3.365712664,9.61E-06,0.000640492,H2A_EUPES,up
TRINITY_DN2123_c0_g1_i25,Pol,Fer,3.352873289,1.70E-05,0.000948288,PPAF2_IPOBA,up
TRINITY_DN5331_c1_g1_i3,Pol,Fer,3.320228085,1.84E-05,0.00100475,IAA27_ARATH,up
