,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN820_c0_g1_i1,Pol,Fer,9.702276681,5.90E-08,1.13E-05,SBT3_LOTJA,up
TRINITY_DN206_c0_g1_i34,Pol,Fer,9.699072652,6.43E-05,0.002588925,PCKA1_ARATH,up
TRINITY_DN4338_c0_g1_i7,Pol,Fer,9.687069399,5.48E-08,1.07E-05,MED8_ARATH,up
TRINITY_DN851_c0_g1_i3,Pol,Fer,9.686966775,9.16E-07,0.000108393,HSP83_ORYSJ,up
TRINITY_DN1789_c0_g1_i4,Pol,Fer,9.685051406,6.54E-05,0.002619516,ACO3M_ARATH,up
TRINITY_DN7172_c0_g1_i35,Pol,Fer,9.656221023,8.44E-08,1.55E-05,FK151_ARATH,up
TRINITY_DN13630_c0_g1_i7,Pol,Fer,9.648484141,3.62E-07,5.00E-05,GASA6_ARATH,up
TRINITY_DN1220_c0_g1_i9,Pol,Fer,9.647185325,6.95E-08,1.30E-05,RVE8_ARATH,up
TRINITY_DN2345_c0_g1_i2,Pol,Fer,9.626677248,1.05E-06,0.000119461,RUBB_PEA,up
TRINITY_DN5444_c0_g1_i2,Pol,Fer,9.618368413,1.59E-06,0.000162276,LEU1A_SOLPN,up
TRINITY_DN13657_c0_g2_i6,Pol,Fer,9.594093243,9.16E-07,0.000108393,HSP7P_ARATH,up
TRINITY_DN307_c0_g1_i9,Pol,Fer,9.589562356,1.38E-07,2.32E-05,CATIN_ARATH,up
TRINITY_DN206_c0_g1_i44,Pol,Fer,9.582778645,4.02E-05,0.001816905,PCKA1_ARATH,up
TRINITY_DN1136_c0_g1_i87,Pol,Fer,9.58178641,1.66E-06,0.000166532,FPGS2_ARATH,up
TRINITY_DN11396_c0_g1_i13,Pol,Fer,9.570582788,1.05E-07,1.86E-05,CCB11_ORYSJ,up
TRINITY_DN8735_c0_g1_i10,Pol,Fer,9.565750964,9.69E-08,1.75E-05,ASNS_ASPOF,up
TRINITY_DN1780_c0_g1_i5,Pol,Fer,9.557096026,1.04E-07,1.86E-05,TIC40_PEA,up
TRINITY_DN1760_c0_g1_i6,Pol,Fer,9.508303506,1.41E-07,2.34E-05,SCAM1_ORYSI,up
TRINITY_DN3827_c0_g1_i4,Pol,Fer,9.500165032,1.61E-07,2.56E-05,ALY3_ARATH,up
TRINITY_DN2013_c0_g1_i4,Pol,Fer,9.495123555,1.51E-07,2.43E-05,SGS3_ORYSJ,up
TRINITY_DN1968_c1_g2_i1,Pol,Fer,9.481471504,1.18E-06,0.000129838,EIL1B_ORYSJ,up
TRINITY_DN11414_c0_g1_i4,Pol,Fer,9.479897836,1.63E-07,2.57E-05,GGP1_ARATH,up
TRINITY_DN1336_c0_g1_i6,Pol,Fer,9.471368576,1.49E-07,2.41E-05,TSS_ARATH,up
TRINITY_DN10871_c0_g1_i23,Pol,Fer,9.463826517,2.65E-07,3.85E-05,NAP1B_ORYSJ,up
TRINITY_DN6659_c0_g1_i2,Pol,Fer,9.430290144,4.99E-07,6.51E-05,PWD_ORYSJ,up
TRINITY_DN8317_c0_g1_i29,Pol,Fer,9.425709139,2.35E-06,0.00021922,TSS_ARATH,up
TRINITY_DN13589_c0_g1_i22,Pol,Fer,9.402694894,2.90E-07,4.14E-05,RCC2_HUMAN,up
TRINITY_DN3675_c0_g1_i1,Pol,Fer,9.398494065,6.53E-07,8.11E-05,LFG4_ARATH,up
TRINITY_DN21725_c0_g1_i12,Pol,Fer,9.395652694,2.19E-07,3.32E-05,P5CS1_ORYSJ,up
TRINITY_DN9072_c0_g1_i5,Pol,Fer,9.387745949,6.23E-07,7.81E-05,XG113_ARATH,up
TRINITY_DN17628_c0_g1_i3,Pol,Fer,9.36158326,2.62E-07,3.82E-05,Y6689_DICDI,up
